化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,低,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,輕度毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,低,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv,輕度毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,低,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_rf.csv,輕度毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,生殖毒性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第1A或1B級：H360F 或 H360FD 或 H360Fd (生育能力、胎兒),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,生殖毒性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第2級：H360Df 或 H361f 或 H361fd (生育能力、胎兒),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,發育毒性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第1A或1B級或附加級別：H360FD 或 H360D 或 H360Df (生育能力、胎兒) 或 H362 (影響哺乳期或透過哺乳期產生影響),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,發育毒性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第2級：H360Fd 或 H361d 或 H361fd (生育能力、胎兒),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,內分泌干擾,"",translation missing: zh-TW.list_name.Endocrine Disruptor Lists (Danish EPA),相對低,危害等級分類清楚。,歐盟,所有,N,https://edlists.org/the-ed-lists/list-i-substances-identified-as-endocrine-disruptors-by-the-eu,"","",Health Effects: Yes; Environmental Effects: Yes
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,內分泌干擾,高,國際內分泌干擾交流協會 - 潛在內分泌干擾物清單,相對低,包含多種危害終點，危害等級分類模糊。,全球,所有,N,"The main TEDX website is at the first link below. The current list of potential endocrine disruptors can be searched or listed from the webpage at the second link below.
http://endocrinedisruption.org/
http://endocrinedisruption.org/endocrine-disruption/tedx-list-of-potential-endocrine-disruptors/chemicalsearch",潛在內分泌干擾物,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,急性毒性,非常高,美國環保署極度危害物質清單,相對高,包含多種危害終點，危害等級分類模糊。,美國,所有,N,"Link leads to the USEPA Consolidated List of Lists, March 2015. GreenScreen utilizes only the EPCRA Section 302 Extremely Hazardous Substances. These are also listed in 40 CFR Part 355, Appendices A and B.
http://www.epa.gov/epcra/epcracerclacaa-ss112r-consolidated-list-lists-march-2015-version",極度危害物質,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,急性毒性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",急毒性危害第4級：H302 (吞食) 或H312 (皮膚) 或H332 (吸入),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,急性毒性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H332,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,皮膚致敏 - 重複劑量,高,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,具毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,皮膚刺激,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,低毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,急毒性危害,眼睛刺激,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.GHS_Japan,低毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,國際化學品秘書處 - 立即替換清單,相對低,危害等級分類清楚。,全球,所有,Y,"A description of ChemSec is available at the first link below. The current SIN List can be searched or listed in full at the website at the second link below.
http://chemsec.org/about-us
http://sinlist.chemsec.org/",水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,急性水生毒性,非常高,紐西蘭GHS,相對低,危害等級分類清楚。,紐西蘭,所有,Y,"The Chemical Classification and Information Database (CCID) provided by the New Zealand Hazardous Substances and New Organisms (HSNO) can be used to search for hazards of individual chemicals (first link). New Zealand uses their own classification terminology which need to be converted to GHS classification categories to be used in the List Translator. A document describing the translation from HSNO to GHS classification is available at the second link.
http://www.epa.govt.nz/search-databases/Pages/HSNO-CCID.aspx
http://www.epa.govt.nz/Publications/hsnogen-ghs-nz-hazard.pdf",水生環境之急性危害第1級：H400,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,慢性水生毒性,非常高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H410,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,慢性水生毒性,高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H411,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境危害,慢性水生毒性,非常高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",translation missing: zh-TW.hazard_annotation.GHS_Japan,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境流佈,持續性,非常高,加拿大國內物質清單,相對低,包含多種危害終點，危害等級分類模糊。,加拿大,所有,Y,"""Canadian Environmental Protection Act, 1999 (CEPA), September 2006. Description and specific lists by type (first link).
The DSL categorization search engine is at the second link. Download the spreadsheet for """"Categorization decisions for all DSL substances"""". Each column represents different endpoints:
Column E - iT Human, Column H - Persistence, Column I - Bioaccumulation, Column J - iT Environment""
http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=5F213FA8-1
http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=5F213FA8-1&wsdoc=D031CB30-B31B-D54C-0E46-37E32D526A1F",持續性,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,環境流佈,生物累積性,低,translation missing: zh-TW.list_name.OECD QSAR Toolbox,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.OECD,輕度毒性,
