名稱,CAS no.,工業用途,安全性,註解
"6-Octen-1-ol, 3,7-dimethyl-, (S)-",106-22-9,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
"Acetic acid, hexyl ester",142-92-7,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"6-Octen-1-ol, 3,7-dimethyl-, acetate",150-84-5,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
".alpha.,.alpha.-dimethylphenethyl acetate",151-05-3,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
Calcium Carbonate,471-34-1,加工助劑-添加物,安全; Green [Circle],
Sodium Carbonate,497-19-8,加工助劑-添加物,安全; Green [Circle],
"Formic acid, calcium salt",544-17-2,酵素和安定劑,安全; Green [Circle],
Tetradecanoic acid,544-63-8,介面活性劑,安全; Green [Circle],
Lignoceric acid,557-59-5,介面活性劑,安全; Green [Circle],
"Hexanedioic acid, dimethyl ester",627-93-0,溶劑,安全; Green [Circle],
1-Eicosanol,629-96-9,軟化劑;潤滑劑,安全; Green [Circle],
"2-Buten-1-ol, 3-methyl-, acetate",1191-16-8,芳香劑,可替換但需留意部分危害; Yellow [Triangle],缺乏足夠致敏資料
"3,4-dimethylbenzenesulfonic Acid",1300-72-7,介面活性劑,安全; Green [Circle],
Sodium Hydroxide,1310-73-2,加工助劑-添加物,安全; Green [Circle],
"Silicic acid, calcium salt",1344-95-2,加工助劑-添加物,安全; Green [Circle],
"1-Dodecanamine, N,N-dimethyl-, N-oxide",1643-20-5,介面活性劑,安全; Green [Circle],
"Acetic acid, sulfo-, 1-dodecyl ester",1847-58-1,介面活性劑,安全; Green [Circle],
"Benzoic acid, 2-hydroxy-, pentyl ester",2050-08-0,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
L-Menthol,2216-51-5,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"Sulfuric acid, monododecyl ester, ammonium salt",2235-54-3,介面活性劑,安全; Green [Circle],
"2-Naphthalenesulfonic acid, 6-hydroxy-5-[(4-sulfophenyl)azo]-, disodium salt",2783-94-0,著色劑,可替換但需留意部分危害; Yellow [Triangle],
"1-Tetradecanamine, N,N-dimethyl-, N-oxide",3332-27-2,介面活性劑,安全; Green [Circle],
Cocamidopropyl betaine,4292-10-8,介面活性劑,安全; Green [Circle],
"Benzoic acid, 2-hydroxy-, hexyl ester",6259-76-3,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
"Butanoic acid, 2-methyl-, ethyl ester",7452-79-1,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"Silica, Amorphous",7631-86-9,加工助劑-添加物,安全; Green [Circle],"*Only allowed as an abrasive, in non-carcinogenic particle sizes and shapes"
"Sulfurous acid, disodium salt",7757-83-7,加工助劑-添加物,安全; Green [Circle],
"Thiosulfuric acid (H2S2O3), disodium salt",7772-98-7,加工助劑-添加物,安全但仍須更多資料強化; Half Green [Circle],
"3,7-dimethylnona-1,6-dien-3-ol",10339-55-6,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"Nitric acid, magnesium salt",10377-60-3,只允許用於防腐劑之穩定劑,可替換但需留意部分危害; Yellow [Triangle],
Titanium oxide (TiO2),13463-67-7,著色劑,安全; Green [Circle],(*Only allowed when particle sizes and shapes are non-carcinogenic.)
"7-Octen-2-ol, 2,6-dimethyl-",18479-58-8,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"Ethanol, 2-phenoxy-",122-99-6,防腐劑-抗氧化劑,可替換但需留意部分危害; Yellow [Triangle],"*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act."
"Amines, C10-16-alkyldimethyl, N-oxides",70592-80-2,介面活性劑,安全; Green [Circle],
"3(2H)-Isothiazolone, 2-methyl-",2682-20-4,防腐劑-抗氧化劑,可替換但需留意部分危害; Yellow [Triangle],
"1,4-Dioxacyclohexadecane-5,16-dione",54982-83-1,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"2-Buten-1-one, 1-[(1R,2S)-2,6,6-trimethyl-3-cyclohexen-1-yl]-, (2E)-rel-",57378-68-4,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
"1,4-Dioxacycloheptadecane-5,17-dione",105-95-3,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"1-Penten-3-one, 1-[(1R)-2,6,6-trimethyl-2-cyclohexen-1-yl]-, (1E)-",7779-30-8,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
Octyldimethylamine oxide,2605-78-9,介面活性劑,安全; Green [Circle],
"N,N-Dimethyldecylamine-N-oxide",2605-79-0,介面活性劑,安全; Green [Circle],
"1-Tetradecanaminium, N-(carboxymethyl)-N,N-dimethyl-, hydroxide, inner salt",2601-33-4,介面活性劑,安全; Green [Circle],
Myristamidopropylamine oxide,67806-10-4,介面活性劑,安全; Green [Circle],
"2-Propanol, 1-phenoxy-",770-35-4,特殊工業用,可替換但需留意部分危害; Yellow [Triangle],
"3-Cyclohexene-1-carboxaldehyde, 2,4-dimethyl-",68039-49-6,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",24851-98-7,芳香劑,安全; Green [Circle],
Sandalore,65113-99-7,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"2-Buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",28219-61-6,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"Carbonic acid disodium salt, compd. with hydrogen peroxide (H2O2) (2:3)",15630-89-4,氧化劑和穩定劑,安全; Green [Circle],
trisodium 5-hydroxy-1-(4-sulphophenyl)-4-(4-sulphophenylazo)pyrazole-3-carboxylate,12225-21-7,著色劑,可替換但需留意部分危害; Yellow [Triangle],
Oxacyclohexadecan-2-one,106-02-5,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
2-Butenedioic acid (E)-,110-17-8,加工助劑-添加物,安全; Green [Circle],
9-Octadecenoic acid,112-80-1,介面活性劑,安全; Green [Circle],
Sodium Bisulfate,7681-38-1,抗微生物活性,安全; Green [Circle],
Sodium Benzoate,532-32-1,防腐劑-抗氧化劑,安全; Green [Circle],
Boron oxide (B2O3),1303-86-2,只允許用於蛋白酶穩定劑,可替換但需留意部分危害; Yellow [Triangle],
"Octadecanoic acid, sodium salt",822-16-2,介面活性劑,安全; Green [Circle],
"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",63500-71-0,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"1-Hexadecanamine, N,N-dimethyl-, N-oxide",7128-91-8,介面活性劑,安全; Green [Circle],
Myristamidopropyl betaine,59272-84-3,介面活性劑,安全; Green [Circle],
Sulfuric acid monododecyl ester sodium salt,151-21-3,介面活性劑,安全; Green [Circle],
"1-Dodecanaminium, N-(carboxymethyl)-N,N-dimethyl-, hydroxide, inner salt",683-10-3,介面活性劑,安全; Green [Circle],
"9,12,15-Octadecatrienoic acid, (Z,Z,Z)-",463-40-1,介面活性劑,安全; Green [Circle],
"9-Tetradecenoic acid, (Z)-",544-64-9,介面活性劑,安全; Green [Circle],
10043-52-4,10043-52-4,酵素和安定劑,安全; Green [Circle],
7786-30-3,7786-30-3,加工助劑-添加物,安全; Green [Circle],
"Benzoic acid, 2-hydroxy-, 3-hexenyl ester, (Z)-",65405-77-8,芳香劑,可替換但需留意部分危害; Yellow [Triangle],
Hydrated Lime,1305-62-0,加工助劑-添加物,安全; Green [Circle],
C.I. Fluorescent brightener 260,16090-02-1,著色劑,安全; Green [Circle],
143-18-0,143-18-0,介面活性劑,安全; Green [Circle],
Sodium cocoyl isethionate,61789-32-0,介面活性劑,安全; Green [Circle],
"Ethanol, 2-[2-[2-(tridecyloxy)ethoxy]ethoxy]-, hydrogen sulfate, sodium salt",25446-78-0,介面活性劑,安全; Green [Circle],
"Sulfuric acid, mono-C10-16-alkyl esters, sodium salts",68585-47-7,介面活性劑,安全; Green [Circle],
"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt",137-16-6,介面活性劑,安全; Green [Circle],
Kaolin,1332-58-7,加工助劑-添加物,安全; Green [Circle],
"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt",22042-96-2,只允許用於氧化劑之穩定劑,可替換但需留意部分危害; Yellow [Triangle],
"Sulfuric acid, mono-C12-18-alkyl esters, sodium salts",68955-19-1,介面活性劑,安全; Green [Circle],
"Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts",68081-81-2,介面活性劑,安全; Green [Circle],
73398-61-5,73398-61-5,溶劑,安全; Green [Circle],
"1,2,3-Propanetriol, homopolymer",56-81-5,加工助劑-添加物,安全但仍須更多資料強化; Half Green [Circle],
Water,7732-18-5,溶劑,安全; Green [Circle],
"1,2-Propanediol",57-55-6,酵素和安定劑,安全; Green [Circle],
Urea,57-13-6,未分類,安全; Green [Circle],
"3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H-benzopyran-6-ol",10191-41-0,防腐劑-抗氧化劑,安全; Green [Circle],
"9-Hexadecenoic acid, (9Z)-",2091-29-4,介面活性劑,安全; Green [Circle],
"1,2,3-Propanetriol, triacetate",102-76-1,溶劑,安全; Green [Circle],
"Acetic acid, calcium salt",62-54-4,加工助劑-添加物,安全; Green [Circle],
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, trisodium salt",68-04-2,螯合劑；鉗合劑,安全; Green [Circle],
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, triethyl ester",77-93-0,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"2-Propanol, 1,1'-oxybis-",110-98-5,溶劑,安全; Green [Circle],
Docosanoic acid,112-85-6,介面活性劑,安全; Green [Circle],
"Hexadecanoic acid, 1-methylethyl ester",142-91-6,軟化劑;潤滑劑,安全; Green [Circle],
"1,3-Propanediol",504-63-2,酵素和安定劑,安全; Green [Circle],
"2(3H)-Furanone, 5-hexyldihydro-",706-14-9,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"2H-Pyran-2-one, 6-heptyltetrahydro-",713-95-1,芳香劑,可替換但需留意部分危害; Yellow [Triangle],缺乏足夠致敏資料
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tripotassium salt",866-84-2,螯合劑；鉗合劑,安全; Green [Circle],
"Pentanedioic acid, dimethyl ester",1119-40-0,溶劑,安全; Green [Circle],
"Phosphonic acid, [nitrilotris(methylene)]tris-",6419-19-8,只允許用於氧化劑之穩定劑,可替換但需留意部分危害; Yellow [Triangle],
"C.I. Acid blue 9, disodium salt",3844-45-9,著色劑,安全; Green [Circle],
Sulfuric acid disodium salt,7757-82-6,加工助劑-添加物,安全; Green [Circle],
"Tetradecanoic acid, methyl ester",124-10-7,溶劑,安全; Green [Circle],
Glyceryl monooleate,25496-72-4,介面活性劑,安全; Green [Circle],
C.I. Pigment Yellow 104,15790-07-5,著色劑,可替換但需留意部分危害; Yellow [Triangle],
"pentaerythritol tetrakis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)",6683-19-8,防腐劑-抗氧化劑,安全; Green [Circle],
C.I. Pigment Green 7,1328-53-6,著色劑,安全; Green [Circle],
Sorbitan monooleate,1338-43-8,介面活性劑,安全; Green [Circle],
Carbonic acid monosodium salt,144-55-8,加工助劑-添加物,安全; Green [Circle],
"Fatty acids, C14-18 and C16-18-unsatd.",67701-06-8,介面活性劑,安全; Green [Circle],
"Octadecanoic acid, 2-ethylhexyl ester",22047-49-0,介面活性劑,安全; Green [Circle],
"D-Gluconic acid, sodium salt",527-07-1,螯合劑；鉗合劑,安全; Green [Circle],
"Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-, hydrolysis products with silica",68909-20-6,加工助劑-添加物,安全; Green [Circle],
